time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm),dia_de_la_semana,semana_del_mes,semana_del_anio,anio,mes,dia,trimestre,es_fin_de_semana,es_festivo_mexico,dia_partido,es_dia_laborable,estacion,count,weathercode_1,weathercode_2,weathercode_3,weathercode_51,weathercode_53,weathercode_55,weathercode_61,weathercode_63,weathercode_65,weathercode_71
2018-04-10,20.6,15.6,17.2,23.1,16.1,18.0,12.4,12.4,0.0,17,12.2,26.3,59,7.19,1.39,1,15,15,2018,4,10,2,0,0,0,1,1,129,0,0,0,0,0,0,1,0,0,0
2017-09-03,30.1,22.5,25.9,32.5,25.9,28.5,0.2,0.2,0.0,2,11.1,30.6,101,17.22,4.11,6,37,37,2017,9,3,3,1,0,0,0,3,46,0,0,0,1,0,0,0,0,0,0
2022-06-09,32.8,22.6,27.2,34.1,26.5,29.8,0.0,0.0,0.0,0,19.0,45.7,340,23.2,5.73,3,24,24,2022,6,9,2,0,0,0,1,2,80,0,1,0,0,0,0,0,0,0,0
2018-11-03,25.4,14.3,19.5,27.3,13.5,20.3,0.0,0.0,0.0,0,10.2,25.9,124,18.82,3.45,5,44,44,2018,11,3,4,1,0,0,0,3,95,1,0,0,0,0,0,0,0,0,0
2022-09-04,27.0,21.8,23.5,29.0,24.9,26.7,18.2,18.2,0.0,19,12.3,34.9,3,12.9,2.69,6,37,37,2022,9,4,3,1,0,1,0,3,41,0,0,0,0,0,0,0,1,0,0
2022-11-15,17.2,11.1,14.4,16.2,8.6,12.3,0.0,0.0,0.0,0,14.9,34.9,15,17.57,3.02,1,47,47,2022,11,15,4,0,0,0,1,3,116,1,0,0,0,0,0,0,0,0,0
2018-07-01,32.0,23.2,27.4,37.3,26.2,30.6,0.1,0.1,0.0,1,11.5,24.1,116,24.76,5.6,6,27,27,2018,7,1,3,1,0,0,0,2,52,0,0,0,1,0,0,0,0,0,0
2017-08-27,33.9,23.8,29.4,35.0,25.8,30.7,0.0,0.0,0.0,0,19.5,47.2,319,23.34,6.28,6,36,36,2017,8,27,3,1,0,1,0,2,60,0,1,0,0,0,0,0,0,0,0
2021-06-12,33.9,23.8,28.5,34.5,25.7,29.3,0.0,0.0,0.0,0,18.0,45.7,118,25.2,6.76,5,24,24,2021,6,12,2,1,0,0,0,2,85,1,0,0,0,0,0,0,0,0,0
2020-10-19,30.4,19.0,24.6,31.9,20.2,26.0,0.0,0.0,0.0,0,10.7,28.1,120,21.27,4.58,0,43,43,2020,10,19,4,0,0,0,1,3,62,0,0,0,0,0,0,0,0,0,0
2022-10-08,20.5,18.0,19.3,22.6,19.9,21.3,14.8,14.8,0.0,20,6.8,19.1,359,4.71,1.01,5,41,41,2022,10,8,4,1,0,0,0,3,69,0,0,0,0,0,0,0,1,0,0
2019-04-06,30.3,17.1,23.9,30.6,17.9,24.8,0.0,0.0,0.0,0,12.5,30.6,304,25.8,5.47,5,14,14,2019,4,6,2,1,0,0,0,1,88,0,0,0,0,0,0,0,0,0,0
2022-02-19,16.5,7.7,12.0,13.3,4.6,8.8,0.0,0.0,0.0,0,15.8,37.1,357,20.53,3.64,5,8,8,2022,2,19,1,1,0,0,0,4,66,1,0,0,0,0,0,0,0,0,0
2017-07-16,34.1,21.7,27.8,35.9,23.1,29.6,1.1,1.1,0.0,3,13.7,37.8,98,24.67,5.74,6,30,30,2017,7,16,3,1,0,0,0,2,41,0,0,0,0,1,0,0,0,0,0
2018-12-29,13.0,8.3,11.0,12.7,6.7,10.1,6.4,6.4,0.0,19,9.4,21.6,57,3.65,0.59,5,52,52,2018,12,29,4,1,0,0,0,4,106,0,0,0,0,1,0,0,0,0,0
