time,temperature_2m_max (°C),rain_sum (mm),precipitation_hours (h),dia_de_la_semana,semana_del_mes,semana_del_anio,anio,mes,es_fin_de_semana,es_festivo_mexico,dia_partido,es_dia_laborable,weathercode_3,weathercode_53
4/10/2018,20.6,12.4,17,1,15,15,2018,4,0,0,0,1,0,0
9/3/2017,30.1,0.2,2,6,37,37,2017,9,1,0,0,0,0,0
6/9/2022,32.8,0,0,3,24,24,2022,6,0,0,0,1,0,0
11/3/2018,25.4,0,0,5,44,44,2018,11,1,0,0,0,0,0
9/4/2022,27,18.2,19,6,37,37,2022,9,1,0,1,0,0,0
11/15/2022,17.2,0,0,1,47,47,2022,11,0,0,0,1,0,0
7/1/2018,32,0.1,1,6,27,27,2018,7,1,0,0,0,0,0
8/27/2017,33.9,0,0,6,36,36,2017,8,1,0,1,0,0,0
6/12/2021,33.9,0,0,5,24,24,2021,6,1,0,0,0,0,0
10/19/2020,30.4,0,0,0,43,43,2020,10,0,0,0,1,0,0
10/8/2022,20.5,14.8,20,5,41,41,2022,10,1,0,0,0,0,0
4/6/2019,30.3,0,0,5,14,14,2019,4,1,0,0,0,0,0
2/19/2022,16.5,0,0,5,8,8,2022,2,1,0,0,0,0,0
7/16/2017,34.1,1.1,3,6,30,30,2017,7,1,0,0,0,0,1
12/29/2018,13,6.4,19,5,52,52,2018,12,1,0,0,0,0,1
1/25/2019,16,0.2,1,4,4,4,2019,1,0,0,0,1,0,0
9/5/2021,33,0,0,6,37,37,2021,9,1,0,0,0,0,0
3/30/2019,27.8,8.3,6,5,13,13,2019,3,1,0,0,0,0,0
5/27/2019,32.2,0,0,0,22,22,2019,5,0,0,0,1,0,0
1/19/2021,23.5,0,0,1,4,4,2021,1,0,0,0,1,1,0
1/9/2018,20.8,0,0,1,2,2,2018,1,0,0,0,1,0,0
7/19/2020,28.8,2.4,11,6,30,30,2020,7,1,0,0,0,0,0
8/30/2020,34.4,0,0,6,36,36,2020,8,1,0,0,0,0,0
11/7/2020,25,0,0,5,45,45,2020,11,1,0,0,0,0,0
8/9/2018,33.4,0.2,1,3,32,32,2018,8,0,0,1,1,0,0
5/6/2021,28.8,1.2,6,3,19,19,2021,5,0,0,1,1,0,0
2/25/2019,20,0,0,0,9,9,2019,2,0,0,0,1,0,0
10/1/2019,30.6,0,0,1,40,40,2019,10,0,0,0,1,0,0
10/14/2018,30.7,0,0,6,42,42,2018,10,1,0,0,0,0,0
5/4/2021,27.5,0.4,1,1,19,19,2021,5,0,0,0,1,0,0
7/17/2022,35.9,0,0,6,30,30,2022,7,1,0,0,0,0,0
9/20/2019,29.5,0,0,4,38,38,2019,9,0,0,0,1,1,0
2/28/2021,30,0,0,6,10,10,2021,2,1,0,0,0,0,0
4/23/2021,31,0,0,4,17,17,2021,4,0,0,0,1,1,0
2/16/2021,10.6,0,0,1,8,8,2021,2,0,0,0,1,0,0
12/26/2020,19.4,0,0,5,52,52,2020,12,1,0,0,0,0,0
5/9/2021,38.5,0,0,6,20,20,2021,5,1,0,0,0,0,0
6/20/2020,32.2,0,0,5,25,25,2020,6,1,0,0,0,1,0
8/8/2021,35.3,0,0,6,33,33,2021,8,1,0,1,0,0,0
6/19/2022,31.7,0,0,6,26,26,2022,6,1,0,1,0,0,0
2/26/2017,27.7,1.7,8,6,10,10,2017,2,1,0,1,0,0,0
6/21/2018,24.3,64.2,21,3,25,25,2018,6,0,0,0,1,0,0
8/16/2022,33.4,0,0,1,34,34,2022,8,0,0,0,1,0,0
6/25/2018,27.1,5.4,9,0,26,26,2018,6,0,0,0,1,0,0
2/25/2018,24.7,0,0,6,9,9,2018,2,1,0,1,0,1,0
9/22/2021,23.3,17.5,12,2,39,39,2021,9,0,0,0,1,0,0
8/19/2019,35.1,0,0,0,34,34,2019,8,0,0,0,1,0,0
8/24/2019,33.7,0.3,2,5,34,34,2019,8,1,0,0,0,0,0
3/5/2019,10.4,0,0,1,10,10,2019,3,0,0,0,1,0,0
9/6/2022,24.9,32.4,24,1,37,37,2022,9,0,0,0,1,0,0
7/18/2021,31.6,0,0,6,30,30,2021,7,1,0,0,0,0,0
1/16/2022,18.4,0,0,6,4,4,2022,1,1,0,1,0,0,0
9/29/2018,25.5,2.3,11,5,39,39,2018,9,1,0,0,0,0,0
6/28/2019,29.3,0,0,4,26,26,2019,6,0,0,0,1,0,0
7/23/2022,34.6,0,0,5,30,30,2022,7,1,0,0,0,0,0
10/15/2017,26.9,4.4,7,6,43,43,2017,10,1,0,1,0,0,0
2/4/2017,18.7,3,12,5,6,6,2017,2,1,0,0,0,0,1
4/9/2018,27.8,1.1,2,0,15,15,2018,4,0,0,0,1,0,1
11/24/2021,25.7,0,0,2,48,48,2021,11,0,0,0,1,0,0
9/16/2022,29.1,0.1,1,4,38,38,2022,9,0,1,0,0,0,0
3/18/2017,26.7,0,0,5,12,12,2017,3,1,0,0,0,0,0
9/4/2018,30.2,0.9,3,1,36,36,2018,9,0,0,0,1,0,1
4/29/2021,28.1,0.2,1,3,18,18,2021,4,0,0,0,1,0,0
4/7/2017,24.7,0,0,4,15,15,2017,4,0,0,0,1,1,0
6/8/2018,32.4,0,0,4,23,23,2018,6,0,0,0,1,0,0
10/23/2021,27.2,0,0,5,43,43,2021,10,1,0,0,0,0,0
7/13/2017,27.6,1.3,8,3,29,29,2017,7,0,0,0,1,0,0
4/28/2022,28.3,0.4,4,3,18,18,2022,4,0,0,0,1,0,0
2/26/2019,24.8,0.5,4,1,9,9,2019,2,0,0,0,1,0,0
3/5/2022,28.9,0,0,5,10,10,2022,3,1,0,0,0,1,0
7/11/2021,27.6,1.8,7,6,29,29,2021,7,1,0,1,0,0,1
7/31/2017,36.3,0,0,0,32,32,2017,7,0,0,0,1,0,0
9/9/2022,30.2,0,0,4,37,37,2022,9,0,0,0,1,0,0
5/10/2022,32.8,0,0,1,20,20,2022,5,0,0,0,1,1,0
9/6/2020,25,10.4,18,6,37,37,2020,9,1,0,1,0,0,0
1/30/2021,30.4,0,0,5,5,5,2021,1,1,0,0,0,0,0
1/20/2021,16.8,3.9,12,2,4,4,2021,1,0,0,0,1,0,1
4/3/2018,31.6,0.7,3,1,14,14,2018,4,0,0,0,1,0,0
1/9/2021,11.2,5.7,22,5,2,2,2021,1,1,0,0,0,0,1
10/14/2020,30.8,0,0,2,42,42,2020,10,0,0,0,1,0,0
8/19/2020,31,0,0,2,34,34,2020,8,0,0,0,1,0,0
1/5/2022,25.8,0,0,2,2,2,2022,1,0,0,0,1,0,0
6/27/2022,31.7,0.4,2,0,27,27,2022,6,0,0,0,1,0,0
10/2/2017,27.3,0,0,0,41,41,2017,10,0,0,0,1,1,0
5/14/2019,24.2,7.6,17,1,20,20,2019,5,0,0,0,1,0,0
2/19/2021,11.3,0,0,4,8,8,2021,2,0,0,0,1,0,0
1/27/2022,14,5.1,23,3,5,5,2022,1,0,0,0,1,0,1
3/31/2019,16.4,12.5,13,6,14,14,2019,3,1,0,1,0,0,0
10/21/2017,27.6,0,0,5,43,43,2017,10,1,0,0,0,1,0
4/17/2018,31.7,0,0,1,16,16,2018,4,0,0,0,1,0,0
1/30/2018,17.3,0,0,1,5,5,2018,1,0,0,0,1,0,0
6/4/2022,32.8,0,0,5,23,23,2022,6,1,0,0,0,0,0
5/13/2018,30.1,0.3,2,6,20,20,2018,5,1,0,0,0,0,0
7/25/2018,34.2,1,2,2,30,30,2018,7,0,0,0,1,0,1
3/25/2018,31.9,0.2,1,6,13,13,2018,3,1,0,0,0,0,0
9/20/2020,26.5,0,0,6,39,39,2020,9,1,0,1,0,0,0
10/7/2021,30.7,0,0,3,41,41,2021,10,0,0,0,1,0,0
2/18/2019,17.8,0,0,0,8,8,2019,2,0,0,0,1,1,0
11/4/2018,24.9,0,0,6,45,45,2018,11,1,0,1,0,0,0
3/15/2018,24,0.4,3,3,11,11,2018,3,0,0,0,1,0,0
10/6/2017,27.5,2.6,6,4,41,41,2017,10,0,0,0,1,0,0
10/20/2018,20.4,17.3,24,5,42,42,2018,10,1,0,0,0,0,0
10/28/2017,16.8,0,0,5,44,44,2017,10,1,0,0,0,0,0
4/15/2018,25.4,0,0,6,16,16,2018,4,1,0,1,0,0,0
3/5/2018,29.5,0,0,0,10,10,2018,3,0,0,0,1,0,0
8/31/2017,33.2,0,0,3,36,36,2017,8,0,0,0,1,0,0
4/18/2020,27.3,0.4,1,5,16,16,2020,4,1,0,0,0,0,0
6/27/2020,29.4,2.7,9,5,26,26,2020,6,1,0,0,0,0,1
1/18/2019,24,0.2,1,4,3,3,2019,1,0,0,0,1,0,0
7/16/2021,31,0,0,4,29,29,2021,7,0,0,0,1,0,0
6/25/2020,29.9,0.2,1,3,26,26,2020,6,0,0,0,1,0,0
8/23/2020,30.5,0,0,6,35,35,2020,8,1,0,1,0,0,0
4/29/2019,30.5,0,0,0,18,18,2019,4,0,0,0,1,1,0
5/2/2021,34.9,0,0,6,19,19,2021,5,1,0,1,0,0,0
3/23/2017,27.9,0,0,3,13,13,2017,3,0,0,0,1,1,0
6/3/2019,31.5,0,0,0,23,23,2019,6,0,0,0,1,1,0
11/12/2017,23.5,0.7,6,6,47,47,2017,11,1,0,0,0,0,0
3/15/2020,26.9,0,0,6,12,12,2020,3,1,0,1,0,1,0
11/9/2019,17.3,0,0,5,45,45,2019,11,1,0,0,0,1,0
11/21/2022,12,1.5,12,0,48,48,2022,11,0,1,0,0,0,0
8/22/2020,33.2,0,0,5,34,34,2020,8,1,0,0,0,0,0
3/10/2020,23.8,0,0,1,11,11,2020,3,0,0,0,1,1,0
10/1/2021,29.1,1.2,6,4,40,40,2021,10,0,0,0,1,0,0
11/23/2019,19,1.2,6,5,47,47,2019,11,1,0,0,0,0,0
10/4/2022,23.1,2.6,11,1,41,41,2022,10,0,0,0,1,0,0
3/15/2017,24.8,0,0,2,12,12,2017,3,0,0,1,1,0,0
10/21/2018,19.1,8.7,12,6,43,43,2018,10,1,0,1,0,0,0
3/15/2019,16.7,1.2,3,4,11,11,2019,3,0,0,0,1,0,1
8/28/2020,34.5,0,0,4,35,35,2020,8,0,0,0,1,0,0
9/20/2018,28.3,0.4,1,3,38,38,2018,9,0,0,0,1,0,0
11/23/2022,19.5,0.4,4,2,48,48,2022,11,0,0,0,1,0,0
1/9/2022,25.6,0.1,1,6,3,3,2022,1,1,0,1,0,0,0
10/6/2020,28.8,0,0,1,41,41,2020,10,0,0,0,1,0,0
7/24/2020,33.7,0.4,1,4,30,30,2020,7,0,0,0,1,0,0
10/16/2022,29.7,0,0,6,43,43,2022,10,1,0,1,0,0,0
4/1/2020,27.2,1.2,3,2,14,14,2020,4,0,0,0,1,0,1
3/9/2022,17.8,0,0,2,11,11,2022,3,0,0,0,1,0,0
9/18/2022,29.8,0.3,2,6,39,39,2022,9,1,0,1,0,0,0
11/9/2017,15.5,1.4,8,3,46,46,2017,11,0,0,0,1,0,0
4/27/2022,25.4,2.7,12,2,18,18,2022,4,0,0,0,1,0,1
2/25/2022,14.6,0.9,9,4,9,9,2022,2,0,0,0,1,0,0
10/22/2019,26.6,0,0,1,43,43,2019,10,0,0,0,1,0,0
5/27/2018,34.5,0,0,6,22,22,2018,5,1,0,0,0,0,0
9/30/2017,25.9,2.1,7,5,40,40,2017,9,1,0,0,0,0,1
9/23/2021,25.5,0,0,3,39,39,2021,9,0,0,1,1,0,0
3/26/2018,30.7,0,0,0,13,13,2018,3,0,0,0,1,0,0
5/24/2020,31,8.6,5,6,22,22,2020,5,1,0,0,0,0,0
2/11/2018,27,0.2,2,6,7,7,2018,2,1,0,1,0,0,0
5/11/2019,23.7,0.7,4,5,19,19,2019,5,1,0,0,0,0,0
10/19/2022,18.4,0,0,2,43,43,2022,10,0,0,0,1,1,0
8/29/2018,31.9,0.6,2,2,35,35,2018,8,0,0,1,1,0,1
9/16/2017,32.8,0,0,5,38,38,2017,9,1,1,0,0,0,0
8/23/2022,32.4,1,5,1,35,35,2022,8,0,0,0,1,0,1
1/16/2018,13.3,2.8,11,1,3,3,2018,1,0,0,0,1,0,0
7/5/2020,35.2,0,0,6,28,28,2020,7,1,0,0,0,0,0
6/30/2019,30,0,0,6,27,27,2019,6,1,0,0,0,0,0
12/19/2020,26,0,0,5,51,51,2020,12,1,0,0,0,0,0
11/3/2022,26.7,0.4,4,3,45,45,2022,11,0,0,0,1,0,0
7/9/2022,36.3,0,0,5,28,28,2022,7,1,0,0,0,0,0
1/17/2021,21.9,0,0,6,4,4,2021,1,1,0,1,0,0,0
8/22/2021,32.7,0,0,6,35,35,2021,8,1,0,1,0,0,0
5/24/2021,30.1,0,0,0,22,22,2021,5,0,0,0,1,1,0
3/17/2018,32.8,0,0,5,11,11,2018,3,1,0,0,0,0,0
10/7/2022,21.6,8.1,11,4,41,41,2022,10,0,0,0,1,0,0
3/21/2021,25.2,0,0,6,13,13,2021,3,1,0,0,0,0,0
12/21/2019,15.4,1,8,5,51,51,2019,12,1,0,0,0,0,0
6/22/2018,28.2,0.7,6,4,25,25,2018,6,0,0,0,1,0,0
3/30/2018,26.1,0,0,4,13,13,2018,3,0,0,0,1,0,0
1/8/2019,24.2,0.4,2,1,2,2,2019,1,0,0,0,1,0,0
1/13/2021,18.8,0,0,2,3,3,2021,1,0,0,0,1,0,0
7/22/2019,32.9,0.8,2,0,30,30,2019,7,0,0,0,1,0,0
7/9/2021,27.7,0.5,2,4,28,28,2021,7,0,0,0,1,0,0
4/2/2017,34,0.2,2,6,15,15,2017,4,1,0,1,0,0,0
6/23/2018,32.2,0,0,5,25,25,2018,6,1,0,0,0,0,0
10/13/2018,29.5,0.4,2,5,41,41,2018,10,1,0,0,0,0,0
10/29/2022,23.3,0,0,5,44,44,2022,10,1,0,0,0,0,0
3/25/2017,30.8,0,0,5,13,13,2017,3,1,0,0,0,0,0
6/15/2018,31.6,0.1,1,4,24,24,2018,6,0,0,0,1,0,0
8/12/2021,34.5,0,0,3,33,33,2021,8,0,0,1,1,0,0
5/13/2020,29.3,0,0,2,20,20,2020,5,0,0,0,1,0,0
11/6/2021,20.8,0,0,5,45,45,2021,11,1,0,0,0,0,0
11/13/2022,15.7,0,0,6,47,47,2022,11,1,0,0,0,0,0
7/8/2018,26.5,3.1,8,6,28,28,2018,7,1,0,0,0,0,0
4/23/2022,31.8,0,0,5,17,17,2022,4,1,0,0,0,0,0
12/25/2021,31.3,0,0,5,52,52,2021,12,1,1,0,0,0,0
7/28/2022,32.6,0.2,1,3,31,31,2022,7,0,0,0,1,0,0
9/26/2017,28.2,4,12,1,40,40,2017,9,0,0,0,1,0,1
11/11/2017,21.7,1.2,7,5,46,46,2017,11,1,0,0,0,0,0
11/9/2021,24.9,0.4,3,1,46,46,2021,11,0,0,0,1,0,0
1/10/2021,16.4,2.5,10,6,3,3,2021,1,1,0,1,0,0,0
2/14/2022,18,0,0,0,8,8,2022,2,0,0,0,1,0,0
8/10/2018,34.4,0,0,4,32,32,2018,8,0,0,0,1,0,0
5/26/2017,34,0,0,4,22,22,2017,5,0,0,1,1,0,0
9/16/2021,31.1,0,0,3,38,38,2021,9,0,1,0,0,1,0
12/8/2018,15.5,2.8,10,5,49,49,2018,12,1,0,0,0,0,1
9/24/2021,26.7,0,0,4,39,39,2021,9,0,0,0,1,0,0
9/7/2019,28.2,0,0,5,36,36,2019,9,1,0,0,0,0,0
9/28/2020,28.3,4.2,10,0,40,40,2020,9,0,0,0,1,0,0
7/16/2022,33.9,0.1,1,5,29,29,2022,7,1,0,0,0,0,0
5/10/2019,22.6,22.4,15,4,19,19,2019,5,0,0,0,1,0,0
4/26/2019,29.9,0,0,4,17,17,2019,4,0,0,0,1,0,0
10/9/2022,24.2,2,6,6,42,42,2022,10,1,0,1,0,0,1
9/15/2020,26.2,9.2,16,1,38,38,2020,9,0,0,0,1,0,1
11/29/2020,20.3,1.3,4,6,49,49,2020,11,1,0,0,0,0,1
1/6/2022,26.9,0,0,3,2,2,2022,1,0,0,0,1,0,0
3/16/2020,26.6,1.9,5,0,12,12,2020,3,0,1,0,0,0,1
1/1/2017,25.6,0,0,6,2,2,2017,1,1,1,0,0,1,0
6/18/2019,33.7,0,0,1,25,25,2019,6,0,0,0,1,0,0
8/21/2019,33.9,0,0,2,34,34,2019,8,0,0,0,1,0,0
6/11/2017,34.3,0,0,6,25,25,2017,6,1,0,0,0,0,0
3/3/2017,15.5,1.2,5,4,10,10,2017,3,0,0,0,1,0,1
3/28/2017,33.8,0,0,1,14,14,2017,3,0,0,0,1,0,0
7/19/2021,32.7,0,0,0,30,30,2021,7,0,0,0,1,0,0
7/21/2019,35.4,0,0,6,30,30,2019,7,1,0,1,0,0,0
6/9/2020,36.2,0.2,1,1,24,24,2020,6,0,0,0,1,0,0
7/22/2017,35.3,0,0,5,30,30,2017,7,1,0,0,0,0,0
10/28/2018,24.4,0,0,6,44,44,2018,10,1,0,1,0,0,0
3/28/2021,25.2,11.7,16,6,14,14,2021,3,1,0,0,0,0,0
10/24/2017,21.8,8.6,10,1,44,44,2017,10,0,0,0,1,0,0
2/9/2022,18.3,0,0,2,7,7,2022,2,0,0,0,1,0,0
4/11/2019,33.2,0,0,3,15,15,2019,4,0,0,0,1,0,0
4/4/2020,24.3,5.5,13,5,14,14,2020,4,1,0,0,0,0,0
5/22/2022,28.8,5.4,15,6,22,22,2022,5,1,0,1,0,0,0
3/26/2022,29.6,0,0,5,13,13,2022,3,1,0,0,0,0,0
1/14/2021,26.9,0,0,3,3,3,2021,1,0,0,0,1,0,0
